step,normalized_l2_nf4,normalized_l2_fp4,normalized_l2_int8,normalized_l2_fp8
0,0.017243,0.017250,0.017233,0.017254
1,0.021122,0.021156,0.021077,0.021124
2,0.024361,0.024417,0.024307,0.024385
3,0.027216,0.027295,0.027119,0.027250
4,0.029778,0.029904,0.029682,0.029825
5,0.032161,0.032286,0.032025,0.032192
6,0.034381,0.034518,0.034196,0.034410
7,0.036432,0.036614,0.036204,0.036475
8,0.038378,0.038638,0.038117,0.038420
9,0.040234,0.040567,0.039946,0.040290
10,0.042016,0.042389,0.041684,0.042070
11,0.043712,0.044118,0.043332,0.043785
12,0.045352,0.045792,0.044928,0.045414
13,0.046916,0.047410,0.046463,0.046994
14,0.048438,0.048970,0.047917,0.048517
15,0.049893,0.050470,0.049340,0.049992
16,0.051323,0.051964,0.050700,0.051406
17,0.052705,0.053402,0.052053,0.052804
18,0.054046,0.054783,0.053353,0.054125
19,0.055349,0.056142,0.054639,0.055426
20,0.056612,0.057478,0.055884,0.056702
21,0.057830,0.058773,0.057096,0.057947
22,0.059052,0.060032,0.058284,0.059171
23,0.060255,0.061303,0.059448,0.060369
24,0.061424,0.062519,0.060549,0.061513
25,0.062576,0.063722,0.061621,0.062635
26,0.063688,0.064911,0.062673,0.063743
27,0.064787,0.066090,0.063740,0.064840
28,0.065871,0.067236,0.064758,0.065913
29,0.066932,0.068351,0.065777,0.066953
30,0.067960,0.069454,0.066768,0.067982
31,0.069001,0.070571,0.067732,0.069002
32,0.070006,0.071665,0.068679,0.070007
33,0.071002,0.072724,0.069620,0.071008
34,0.072007,0.073757,0.070562,0.072028
35,0.072993,0.074805,0.071472,0.073007
36,0.073942,0.075817,0.072361,0.073945
37,0.074864,0.076823,0.073234,0.074880
38,0.075780,0.077814,0.074077,0.075818
39,0.076685,0.078807,0.074927,0.076730
40,0.077574,0.079775,0.075757,0.077602
41,0.078468,0.080742,0.076577,0.078496
42,0.079363,0.081693,0.077385,0.079370
43,0.080224,0.082636,0.078193,0.080247
44,0.081064,0.083577,0.078976,0.081080
45,0.081876,0.084494,0.079730,0.081907
46,0.082724,0.085404,0.080534,0.082758
47,0.083555,0.086301,0.081306,0.083592
48,0.084346,0.087176,0.082059,0.084408
49,0.085149,0.088067,0.082807,0.085211
50,0.085937,0.088940,0.083545,0.086010
51,0.086733,0.089798,0.084289,0.086796
52,0.087495,0.090640,0.084970,0.087563
53,0.088267,0.091500,0.085690,0.088335
54,0.089060,0.092351,0.086409,0.089116
55,0.089819,0.093192,0.087095,0.089897
56,0.090563,0.094023,0.087779,0.090634
57,0.091325,0.094843,0.088441,0.091368
58,0.092057,0.095675,0.089128,0.092119
59,0.092782,0.096467,0.089795,0.092817
60,0.093519,0.097273,0.090461,0.093539
61,0.094239,0.098046,0.091109,0.094232
62,0.094927,0.098813,0.091763,0.094956
63,0.095612,0.099585,0.092402,0.095644
64,0.096298,0.100358,0.093029,0.096348
65,0.096973,0.101100,0.093635,0.097017
66,0.097642,0.101860,0.094259,0.097690
67,0.098333,0.102586,0.094874,0.098359
68,0.098996,0.103307,0.095470,0.099021
69,0.099642,0.104025,0.096062,0.099693
70,0.100317,0.104788,0.096664,0.100359
71,0.100955,0.105519,0.097263,0.101013
72,0.101586,0.106250,0.097812,0.101669
73,0.102213,0.106978,0.098432,0.102334
74,0.102847,0.107678,0.099001,0.102958
75,0.103480,0.108385,0.099577,0.103626
76,0.104141,0.109094,0.100145,0.104278
77,0.104775,0.109792,0.100691,0.104887
78,0.105374,0.110478,0.101263,0.105496
79,0.105987,0.111176,0.101808,0.106114
80,0.106587,0.111855,0.102370,0.106713
81,0.107187,0.112520,0.102912,0.107329
82,0.107798,0.113188,0.103453,0.107936
83,0.108377,0.113861,0.103974,0.108525
84,0.108958,0.114514,0.104490,0.109120
85,0.109543,0.115162,0.105005,0.109703
86,0.110140,0.115817,0.105548,0.110305
87,0.110720,0.116480,0.106054,0.110878
88,0.111314,0.117146,0.106558,0.111485
89,0.111899,0.117782,0.107072,0.112053
90,0.112466,0.118427,0.107563,0.112640
91,0.113026,0.119063,0.108049,0.113208
92,0.113610,0.119710,0.108548,0.113770
93,0.114140,0.120333,0.109025,0.114324
94,0.114707,0.120966,0.109513,0.114880
95,0.115256,0.121588,0.109987,0.115428
96,0.115801,0.122207,0.110479,0.115965
97,0.116349,0.122835,0.110962,0.116529
98,0.116863,0.123428,0.111435,0.117073
99,0.117383,0.124026,0.111890,0.117608
100,0.117908,0.124646,0.112370,0.118150
101,0.118425,0.125240,0.112849,0.118706
102,0.118959,0.125851,0.113306,0.119240
103,0.119478,0.126466,0.113763,0.119770
104,0.120004,0.127068,0.114221,0.120284
105,0.120518,0.127644,0.114667,0.120780
106,0.121041,0.128224,0.115119,0.121297
107,0.121531,0.128795,0.115541,0.121816
108,0.122041,0.129387,0.116003,0.122334
109,0.122538,0.129987,0.116447,0.122850
110,0.123029,0.130560,0.116886,0.123350
111,0.123518,0.131154,0.117320,0.123847
112,0.123977,0.131695,0.117746,0.124322
113,0.124480,0.132263,0.118173,0.124842
114,0.124958,0.132797,0.118582,0.125310
115,0.125422,0.133340,0.119022,0.125819
116,0.125906,0.133893,0.119443,0.126319
117,0.126385,0.134469,0.119851,0.126793
118,0.126847,0.135013,0.120256,0.127277
119,0.127317,0.135575,0.120663,0.127783
120,0.127791,0.136117,0.121080,0.128268
121,0.128261,0.136644,0.121473,0.128728
122,0.128706,0.137174,0.121866,0.129203
123,0.129163,0.137728,0.122280,0.129671
124,0.129623,0.138273,0.122678,0.130148
125,0.130087,0.138811,0.123072,0.130581
126,0.130524,0.139340,0.123446,0.131029
127,0.130983,0.139887,0.123825,0.131497
128,0.131427,0.140414,0.124203,0.131969
129,0.131866,0.140918,0.124589,0.132424
130,0.132308,0.141450,0.124974,0.132884
131,0.132752,0.141949,0.125372,0.133335
132,0.133198,0.142440,0.125740,0.133788
133,0.133625,0.142944,0.126130,0.134246
134,0.134058,0.143462,0.126509,0.134706
135,0.134487,0.143965,0.126877,0.135151
136,0.134919,0.144457,0.127248,0.135602
137,0.135362,0.144975,0.127623,0.136062
138,0.135794,0.145479,0.127974,0.136496
139,0.136222,0.145978,0.128322,0.136931
140,0.136630,0.146467,0.128703,0.137359
141,0.137077,0.146971,0.129061,0.137805
142,0.137498,0.147464,0.129424,0.138238
143,0.137906,0.147945,0.129788,0.138673
144,0.138318,0.148447,0.130145,0.139096
145,0.138720,0.148923,0.130499,0.139525
146,0.139123,0.149409,0.130854,0.139951
147,0.139521,0.149895,0.131205,0.140383
148,0.139927,0.150374,0.131544,0.140780
149,0.140321,0.150827,0.131856,0.141193
150,0.140745,0.151299,0.132205,0.141615
151,0.141142,0.151792,0.132549,0.142020
152,0.141529,0.152256,0.132872,0.142426
153,0.141917,0.152728,0.133230,0.142848
154,0.142288,0.153172,0.133566,0.143251
155,0.142671,0.153642,0.133911,0.143643
156,0.143053,0.154115,0.134238,0.144029
157,0.143451,0.154583,0.134595,0.144426
158,0.143838,0.155053,0.134918,0.144835
159,0.144210,0.155503,0.135226,0.145214
160,0.144588,0.155953,0.135550,0.145602
161,0.144956,0.156414,0.135879,0.145996
162,0.145306,0.156865,0.136210,0.146397
163,0.145672,0.157296,0.136508,0.146765
164,0.146048,0.157731,0.136829,0.147164
165,0.146408,0.158182,0.137156,0.147566
166,0.146758,0.158614,0.137465,0.147948
167,0.147114,0.159055,0.137783,0.148333
168,0.147485,0.159493,0.138104,0.148694
169,0.147851,0.159938,0.138407,0.149091
170,0.148243,0.160382,0.138718,0.149471
171,0.148595,0.160828,0.139015,0.149857
172,0.148957,0.161271,0.139324,0.150230
173,0.149325,0.161744,0.139626,0.150604
174,0.149682,0.162177,0.139940,0.150992
175,0.150013,0.162622,0.140239,0.151376
176,0.150379,0.163073,0.140544,0.151747
177,0.150741,0.163501,0.140822,0.152117
178,0.151097,0.163926,0.141107,0.152483
179,0.151429,0.164359,0.141403,0.152841
180,0.151771,0.164796,0.141681,0.153204
181,0.152131,0.165215,0.141977,0.153567
182,0.152476,0.165650,0.142280,0.153939
183,0.152818,0.166082,0.142560,0.154292
184,0.153149,0.166475,0.142876,0.154656
185,0.153509,0.166900,0.143159,0.155038
186,0.153823,0.167301,0.143411,0.155396
187,0.154175,0.167736,0.143704,0.155769
188,0.154493,0.168142,0.143993,0.156140
189,0.154822,0.168525,0.144264,0.156490
190,0.155141,0.168923,0.144547,0.156825
191,0.155484,0.169331,0.144823,0.157193
192,0.155820,0.169737,0.145108,0.157569
193,0.156133,0.170144,0.145357,0.157909
194,0.156470,0.170561,0.145641,0.158259
195,0.156787,0.170974,0.145907,0.158609
196,0.157115,0.171383,0.146176,0.158957
197,0.157435,0.171780,0.146446,0.159311
198,0.157768,0.172182,0.146707,0.159637
199,0.158088,0.172578,0.146981,0.159970
