-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.68%     146.497us         5.92%       1.270ms      79.394us       0.000us         0.00%       7.726ms     482.886us            16  
                                   ConvolutionBackward0         0.16%      35.299us         5.24%       1.124ms      70.238us       0.000us         0.00%       7.726ms     482.886us            16  
                             aten::convolution_backward         2.17%     465.119us         5.07%       1.089ms      68.032us       6.481ms        29.46%       7.726ms     482.886us            16  
                                           aten::conv2d         0.08%      16.330us         3.08%     661.488us      41.343us       0.000us         0.00%       6.503ms     406.438us            16  
                                      aten::convolution         0.31%      66.319us         3.01%     645.158us      40.322us       0.000us         0.00%       6.503ms     406.438us            16  
                                     aten::_convolution         0.24%      52.399us         2.70%     578.839us      36.177us       0.000us         0.00%       6.503ms     406.438us            16  
                                aten::cudnn_convolution         1.50%     321.044us         2.45%     526.440us      32.903us       6.503ms        29.56%       6.503ms     406.438us            16  
                                            aten::copy_         2.44%     523.778us        75.92%      16.285ms     104.388us       4.033ms        18.33%       4.038ms      25.882us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.499ms        15.91%       3.499ms      53.836us            65  
                                            aten::clone         1.18%     253.476us         9.44%       2.025ms      14.569us       0.000us         0.00%       2.618ms      18.838us           139  
                                       aten::contiguous         0.12%      26.239us         3.45%     740.283us      15.423us       0.000us         0.00%       2.252ms      46.924us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.855ms         8.43%       1.855ms     463.704us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.624ms         7.38%       1.624ms     406.096us             4  
                                               aten::to         0.11%      23.300us        70.20%      15.058ms     792.509us       0.000us         0.00%       1.419ms      74.690us            19  
                                         aten::_to_copy         0.19%      41.409us        70.09%      15.034ms     884.375us       0.000us         0.00%       1.419ms      83.477us            17  
                                              aten::add         1.17%     251.526us         1.82%     391.442us      13.048us       1.393ms         6.33%       1.393ms      46.420us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.323ms         6.01%       1.323ms     330.680us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.322ms         6.01%       1.322ms     440.735us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.288ms         5.85%       1.288ms      24.761us            52  
