step,normalized_l2_nf4,normalized_l2_fp4,normalized_l2_int8,normalized_l2_fp8
0,0.020468,0.021711,0.005881,0.009594
1,0.029171,0.030829,0.007938,0.013291
2,0.037178,0.039241,0.009747,0.016595
3,0.044590,0.047104,0.011328,0.019597
4,0.051460,0.054467,0.012725,0.022377
5,0.057861,0.061399,0.013946,0.025004
6,0.063783,0.067884,0.015032,0.027482
7,0.069262,0.073950,0.016061,0.029859
8,0.074309,0.079623,0.017001,0.032116
9,0.078984,0.084943,0.017892,0.034270
10,0.083309,0.089900,0.018715,0.036309
11,0.087301,0.094534,0.019461,0.038224
12,0.090980,0.098875,0.020160,0.040017
13,0.094359,0.102932,0.020803,0.041732
14,0.097447,0.106707,0.021384,0.043346
15,0.100244,0.110202,0.021943,0.044868
16,0.102775,0.113457,0.022465,0.046332
17,0.105057,0.116454,0.022965,0.047745
18,0.107064,0.119209,0.023436,0.049097
19,0.108814,0.121706,0.023881,0.050398
20,0.110303,0.123957,0.024322,0.051635
21,0.111530,0.125971,0.024736,0.052811
22,0.112512,0.127744,0.025128,0.053942
23,0.113214,0.129256,0.025523,0.055022
24,0.113642,0.130504,0.025896,0.056051
25,0.113797,0.131480,0.026249,0.057027
26,0.113697,0.132192,0.026588,0.057957
27,0.113351,0.132651,0.026909,0.058825
28,0.112790,0.132894,0.027229,0.059643
29,0.112059,0.132951,0.027539,0.060398
30,0.111201,0.132853,0.027849,0.061109
31,0.110247,0.132622,0.028161,0.061761
32,0.109223,0.132279,0.028461,0.062368
33,0.108165,0.131859,0.028773,0.062910
34,0.107095,0.131387,0.029083,0.063384
35,0.106045,0.130867,0.029387,0.063788
36,0.105006,0.130314,0.029698,0.064105
37,0.104002,0.129735,0.030013,0.064320
38,0.103035,0.129153,0.030318,0.064443
39,0.102110,0.128566,0.030632,0.064472
40,0.101243,0.127990,0.030958,0.064428
41,0.100418,0.127420,0.031300,0.064298
42,0.099665,0.126866,0.031638,0.064104
43,0.098973,0.126333,0.031978,0.063867
44,0.098342,0.125829,0.032316,0.063586
45,0.097764,0.125363,0.032645,0.063265
46,0.097233,0.124941,0.032962,0.062919
47,0.096747,0.124557,0.033243,0.062558
48,0.096298,0.124213,0.033505,0.062175
49,0.095866,0.123895,0.033743,0.061748
50,0.095452,0.123617,0.033947,0.061283
51,0.095055,0.123368,0.034125,0.060779
52,0.094670,0.123152,0.034274,0.060238
53,0.094293,0.122970,0.034392,0.059672
54,0.093918,0.122817,0.034480,0.059078
55,0.093536,0.122697,0.034529,0.058456
56,0.093164,0.122608,0.034558,0.057815
57,0.092797,0.122551,0.034554,0.057147
58,0.092427,0.122523,0.034536,0.056453
59,0.092071,0.122520,0.034501,0.055748
60,0.091711,0.122545,0.034445,0.055031
61,0.091353,0.122593,0.034372,0.054293
62,0.091000,0.122662,0.034284,0.053543
63,0.090660,0.122753,0.034175,0.052791
64,0.090328,0.122871,0.034057,0.052039
65,0.090012,0.123006,0.033927,0.051277
66,0.089704,0.123160,0.033778,0.050512
67,0.089405,0.123333,0.033618,0.049746
68,0.089120,0.123517,0.033439,0.048975
69,0.088853,0.123723,0.033250,0.048213
70,0.088598,0.123939,0.033056,0.047450
71,0.088357,0.124171,0.032848,0.046697
72,0.088125,0.124413,0.032621,0.045953
73,0.087904,0.124663,0.032396,0.045218
74,0.087693,0.124924,0.032168,0.044494
75,0.087501,0.125193,0.031930,0.043790
76,0.087320,0.125471,0.031679,0.043103
77,0.087157,0.125754,0.031423,0.042437
78,0.087008,0.126048,0.031166,0.041794
79,0.086870,0.126346,0.030903,0.041171
80,0.086744,0.126647,0.030628,0.040568
81,0.086629,0.126949,0.030346,0.039983
82,0.086528,0.127250,0.030068,0.039424
83,0.086443,0.127557,0.029786,0.038892
84,0.086368,0.127864,0.029499,0.038380
85,0.086304,0.128175,0.029217,0.037894
86,0.086257,0.128485,0.028931,0.037431
87,0.086221,0.128795,0.028639,0.036990
88,0.086194,0.129101,0.028349,0.036580
89,0.086182,0.129406,0.028064,0.036195
90,0.086180,0.129707,0.027785,0.035841
91,0.086189,0.130007,0.027508,0.035509
92,0.086204,0.130306,0.027234,0.035200
93,0.086228,0.130601,0.026958,0.034910
94,0.086259,0.130889,0.026683,0.034642
95,0.086300,0.131175,0.026410,0.034397
96,0.086350,0.131457,0.026146,0.034165
97,0.086402,0.131735,0.025892,0.033949
98,0.086458,0.132010,0.025646,0.033753
99,0.086517,0.132282,0.025409,0.033575
100,0.086583,0.132546,0.025175,0.033416
101,0.086648,0.132808,0.024947,0.033266
102,0.086718,0.133065,0.024731,0.033133
103,0.086791,0.133320,0.024527,0.033009
104,0.086863,0.133568,0.024331,0.032900
105,0.086941,0.133813,0.024143,0.032798
106,0.087017,0.134051,0.023963,0.032714
107,0.087099,0.134285,0.023792,0.032635
108,0.087185,0.134514,0.023635,0.032568
109,0.087273,0.134741,0.023488,0.032508
110,0.087361,0.134966,0.023352,0.032458
111,0.087447,0.135188,0.023222,0.032417
112,0.087536,0.135405,0.023103,0.032382
113,0.087624,0.135622,0.022988,0.032357
114,0.087711,0.135834,0.022884,0.032340
115,0.087801,0.136045,0.022784,0.032331
116,0.087889,0.136251,0.022690,0.032328
117,0.087977,0.136452,0.022603,0.032331
118,0.088067,0.136648,0.022519,0.032337
119,0.088154,0.136842,0.022445,0.032349
120,0.088244,0.137030,0.022378,0.032365
121,0.088337,0.137214,0.022316,0.032383
122,0.088424,0.137393,0.022257,0.032405
123,0.088515,0.137568,0.022210,0.032430
124,0.088600,0.137740,0.022161,0.032458
125,0.088690,0.137910,0.022118,0.032489
126,0.088776,0.138075,0.022079,0.032520
127,0.088860,0.138238,0.022045,0.032555
128,0.088943,0.138398,0.022015,0.032589
129,0.089025,0.138557,0.021989,0.032625
130,0.089109,0.138714,0.021962,0.032664
131,0.089194,0.138868,0.021939,0.032702
132,0.089275,0.139021,0.021914,0.032743
133,0.089360,0.139171,0.021901,0.032787
134,0.089443,0.139319,0.021889,0.032834
135,0.089525,0.139466,0.021880,0.032883
136,0.089605,0.139610,0.021872,0.032933
137,0.089687,0.139750,0.021865,0.032981
138,0.089768,0.139890,0.021862,0.033030
139,0.089849,0.140028,0.021861,0.033082
140,0.089928,0.140167,0.021862,0.033135
141,0.090006,0.140301,0.021872,0.033192
142,0.090084,0.140437,0.021881,0.033251
143,0.090164,0.140569,0.021895,0.033311
144,0.090242,0.140700,0.021913,0.033373
145,0.090320,0.140829,0.021931,0.033434
146,0.090396,0.140957,0.021950,0.033492
147,0.090470,0.141086,0.021972,0.033554
148,0.090546,0.141209,0.022001,0.033614
149,0.090620,0.141334,0.022028,0.033676
150,0.090693,0.141458,0.022058,0.033737
151,0.090765,0.141580,0.022089,0.033801
152,0.090834,0.141701,0.022122,0.033861
153,0.090902,0.141817,0.022159,0.033926
154,0.090971,0.141934,0.022194,0.033989
155,0.091038,0.142049,0.022234,0.034055
156,0.091104,0.142164,0.022274,0.034122
157,0.091171,0.142277,0.022318,0.034188
158,0.091238,0.142390,0.022368,0.034256
159,0.091307,0.142500,0.022419,0.034326
160,0.091373,0.142610,0.022469,0.034392
161,0.091437,0.142717,0.022517,0.034462
162,0.091501,0.142823,0.022569,0.034530
163,0.091564,0.142929,0.022619,0.034594
164,0.091629,0.143035,0.022671,0.034664
165,0.091691,0.143138,0.022723,0.034736
